,Ciś. pow. za turb.[Pa],ECT - wyjście z sil.[°C],MAF[kg/h],Moc[kW],Moment obrotowy[Nm],Obroty[obr/min],Temp. oleju w misce[°C],Temp. pal. na wyjściu sil.[°C],Temp. powietrza za turb.[°C],Zużycie paliwa średnie[g/s],Rotation,Temp. spalin 1...4/6 - srednia[°C],CO,HC,LAMBDA,CO2,O2,NO,PM,Сalorific value MJ/kg,Cetane number,Density at 15 °C,Viscosity at 40 °C 
116803.0,57265.0,66.3000030517578,509.100006103516,72.57834528760473,288.327653467721,2405.0,83.0,51.0999984741211,74.0,5.21460008621216,2400.0,477.0,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116823.0,57265.0,66.3000030517578,509.100006103516,72.57834528760473,288.327653467721,2405.0,83.0,51.0999984741211,74.0,5.21460008621216,2400.0,477.0,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116826.0,57265.0,66.3000030517578,509.100006103516,72.57834528760473,288.327653467721,2405.0,83.0,51.0999984741211,74.0,5.21460008621216,2400.0,477.0,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116843.0,57265.0,66.3000030517578,509.100006103516,72.57834528760473,288.327653467721,2405.0,83.0,51.0999984741211,74.0,5.21460008621216,2400.0,477.0,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116863.0,57265.0,66.3000030517578,509.100006103516,72.57834528760473,288.327653467721,2405.0,83.0,51.0999984741211,74.0,5.21460008621216,2400.0,477.0,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116876.0,57265.0,66.3000030517578,509.100006103516,72.57834528760473,288.327653467721,2405.0,83.0,51.0999984741211,74.0,5.21460008621216,2400.0,477.0,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116883.0,57265.0,66.3000030517578,509.100006103516,72.57834528760473,288.327653467721,2405.0,83.0,51.0999984741211,74.0,5.21460008621216,2400.0,477.0,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116903.0,57265.0,66.3000030517578,509.100006103516,72.57834528760473,288.327653467721,2405.0,83.0,51.0999984741211,74.0,5.21460008621216,2400.0,477.0,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116923.0,57265.0,66.3000030517578,509.100006103516,72.57834528760473,288.327653467721,2405.0,83.0,51.0999984741211,74.0,5.21460008621216,2400.0,477.0,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116931.0,57265.0,66.3000030517578,509.100006103516,72.57834528760473,288.327653467721,2405.0,83.0,51.0999984741211,74.0,5.21430015563965,2400.0,477.0,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116934.0,57265.0,66.3000030517578,509.100006103516,72.56816976743804,288.28722978706463,2405.0,83.0,51.2000007629395,74.0,5.21430015563965,2400.0,477.0,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116943.0,57265.0,66.3000030517578,509.100006103516,72.56816976743804,288.28722978706463,2405.0,83.0,51.2000007629395,74.0,5.21430015563965,2400.0,477.0,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116962.0,57265.0,66.3000030517578,509.100006103516,72.56816976743804,288.28722978706463,2405.0,83.0,51.2000007629395,74.0,5.21430015563965,2400.0,477.0,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116963.0,57265.0,66.3000030517578,509.100006103516,72.56816976743804,288.28722978706463,2405.0,83.0,51.2000007629395,74.0,5.21430015563965,2400.0,477.0,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116976.0,57329.0,66.3000030517578,509.100006103516,72.56816976743804,288.28722978706463,2405.0,83.0,51.2000007629395,74.0,5.21430015563965,2400.0,477.0,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116977.0,57329.0,66.3000030517578,508.200012207031,72.56816976743804,288.28722978706463,2405.0,83.0,51.2000007629395,74.0,5.21430015563965,2400.0,477.0,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116983.0,57329.0,66.3000030517578,508.200012207031,72.56816976743804,288.28722978706463,2405.0,83.0,51.2000007629395,74.0,5.21430015563965,2400.0,477.0,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116984.0,57329.0,66.3000030517578,508.200012207031,72.56816976743804,288.28722978706463,2405.0,83.0,51.2000007629395,74.0,5.21430015563965,2400.0,477.0,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
117003.0,57329.0,66.3000030517578,508.200012207031,72.56816976743804,288.28722978706463,2405.0,83.0,51.2000007629395,74.0,5.21430015563965,2400.0,477.0,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
117023.0,57329.0,66.3000030517578,508.200012207031,72.56816976743804,288.28722978706463,2405.0,83.0,51.2000007629395,74.0,5.21430015563965,2400.0,477.0,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
117026.0,57329.0,66.3000030517578,508.200012207031,72.56816976743804,288.28722978706463,2405.0,83.0,51.2000007629395,74.0,5.21430015563965,2400.0,477.0,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
117043.0,57329.0,66.3000030517578,508.200012207031,72.56816976743804,288.3865083103097,2405.0,83.0,51.2000007629395,74.0,5.21430015563965,2400.0,477.0,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
117063.0,57329.0,66.3000030517578,508.200012207031,72.56816976743804,288.3865083103097,2405.0,83.0,51.2000007629395,74.0,5.21430015563965,2400.0,477.0,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
117076.0,57329.0,66.3000030517578,508.200012207031,72.56816976743804,288.3865083103097,2405.0,83.0,51.2000007629395,74.0,5.21430015563965,2400.0,476.75,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
117077.0,57329.0,66.3000030517578,508.200012207031,72.56816976743804,288.3865083103097,2405.0,83.0,51.2000007629395,74.0,5.21430015563965,2400.0,476.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
117083.0,57329.0,66.3000030517578,508.200012207031,72.56816976743804,288.3865083103097,2406.0,83.0,51.2000007629395,74.0,5.21430015563965,2400.0,476.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
117103.0,57329.0,66.3000030517578,508.200012207031,72.56816976743804,288.3865083103097,2406.0,83.0,51.2000007629395,74.0,5.21430015563965,2400.0,476.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
117123.0,57329.0,66.3000030517578,508.200012207031,72.56816976743804,288.3865083103097,2406.0,83.0,51.2000007629395,74.0,5.21430015563965,2400.0,476.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
117132.0,57329.0,66.3000030517578,508.200012207031,72.56816976743804,288.3865083103097,2406.0,83.0,51.2000007629395,74.0,5.21600008010864,2400.0,476.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
